Horse ID,Breed,Gender,Age,Height,Color,Location,Euro Price,$ Price,Discipline,Further Characteristics
11000,KWPN,Gelding,7 years,17 hh,Chestnut-Red,Zwickau,"22,000","$23,431.00 ",Jumping - Eventing,"Competition experience, Equine Passport available, No eczema"
11001,Appaloosa,Gelding,15 years,"15,1 hh",N/A,"Marana, AZ",N/A,"$10,000.00 ",Trail - English Pleasure - Versatility Ranch Horse - Show,"is a companion, Reliable for trail riding, is allrounder"
11002,American Quarter Horse,Mare,14 years,"14,2 hh",Roan-Red,"Rebersburg, PA",N/A,N/A,Versatility Ranch Horse - Trail - Reining - Western,"is a companion, suitable as school horse/pony, Reliable for trail riding"
11003,American Quarter Horse,Gelding,14 years,"14,2 hh",Roan-Red,"Georgetown, TX",N/A,N/A,Versatility Ranch Horse - Trail - Show - Western,"is a companion, Reliable for trail riding, is allrounder"
11004,Lusitano Mix,Gelding,11 years,16 hh,Bay,Duncton,N/A,"$29,379.00 ",Dressage - English Pleasure - Trail,
11005,American Quarter Horse,Gelding,9 years,15 hh,Roan-Blue,"Bernard, IA",N/A,N/A,Versatility Ranch Horse - Trail - Show - Western,"is a companion, Reliable for trail riding, is allrounder"
11006,American Quarter Horse,Gelding,12 years,15 hh,Grullo,"Camp Verde, AZ",N/A,N/A,Versatility Ranch Horse - Trail - Show - Western,"is a companion, Reliable for trail riding, is allrounder"
11007,American Quarter Horse,Mare,10 years,"14,3 hh",N/A,"Carthage, TX",N/A,N/A,Versatility Ranch Horse - Trail - Show - Western,"is a companion, suitable as school horse/pony, Reliable for trail riding"
11008,Hanoverian,Mare,3 years,"16,2 hh",Smoky-Black,Moers,N/A,N/A,Jumping - Breeding - Dressage ,
11009,Hanoverian,Gelding,4 years,"16,2 hh",Brown,Moers,"20,000","$21,301.00 ",Jumping - Eventing ,
11010,Hanoverian,Gelding,5 years,"16,3 hh",Brown,Lienen,"100,000","$106,503.00 ",Dressage ,
11011,Hanoverian,Gelding,9 years,17 hh,Chestnut,Geldern,"70,000","$74,552.00 ",Dressage,
11012,PRE,Mare,2 years,16 hh,Brown,Los Rosales,"4,500","$4,793.00 ",Gaited ,
11013,Menorquin,Stallion,1 year,"15,3 hh",Black,Menorca,"7,500","$7,988.00 ",Leisure - Working Equitation - Baroque - Eventing ,
11014,Westphalian,Mare,13 years,16 hh,Brown,Pulheim,"20,000","$21,301.00 ",Jumping - Breeding - Eventing - Dressage,
11015,Welsh A (Mountain Pony),Gelding,3 years,"11,1 hh",Black,Halle,"5,800","$6,177.00 ",Driving - Leisure ,
11016,German Sport Horse,Gelding,7 years,"16,2 hh",Chestnut-Red,Brieselang,"40,000","$42,601.00 ",Dressage ,
11017,American Quarter Horse,Mare,3 years,15 hh,Bay-Dark,München,N/A,N/A,Reining - Western allround - Versatility Ranch Horse - Leisure ,
11018,Holstein,Mare,16 years,"16,2 hh",Brown,Schönwalde-Glien,"8,900","$9,479.00 ",Breeding ,
11019,Hanoverian,Mare,5 years,"16,1 hh",Smoky-Black,Linau,"40,000","$42,601.00 ",Dressage - Breeding - Jumping,
11020,Westphalian,Gelding,9 years,18 hh,Smoky-Black,Ahaus,"50,000","$53,251.00 ",Dressage - Jumping,
